site,latitude,longitude,type,capacity
620871,51.26,4.42,Wind Onshore,24200.0
252170,51.47388352,4.731869848,Wind Onshore,21615.0
232986,51.2,5.2657,Wind Onshore,22050.0
348152,51.299636,3.222485,Wind Onshore,44000.0
321315,50.4036,3.72806,Wind Onshore,23650.0
898066,50.703,5.12466,Wind Onshore,32000.0
682541,48.71766222,10.22124722,Wind Onshore,37800.0
260979,53.1519,11.8101,Wind Onshore,22000.0
980877,53.066,12.0497,Wind Onshore,19800.0
387062,53.2275,11.889722,Wind Onshore,21400.0
108261,52.6471,14.176485,Wind Onshore,41700.0
620277,51.658866,13.372577,Wind Onshore,32500.0
460982,52.1,12.7,Wind Onshore,30000.0
500359,51.865,13.513,Wind Onshore,76500.0
612465,53.14,12.23,Wind Onshore,21600.0
157339,53.298752,12.335392,Wind Onshore,46000.0
008807,52.19122,14.208069,Wind Onshore,44000.0
290841,52.003417,12.840944,Wind Onshore,20000.0
713864,52.913425,12.249329,Wind Onshore,19800.0
852291,51.54833,14.423753,Wind Onshore,22500.0
331586,53.217,11.822,Wind Onshore,67000.0
510959,53.457405,13.897935,Wind Onshore,29100.0
885842,51.91,13.33,Wind Onshore,22000.0
065552,52.920027,13.291489,Wind Onshore,22000.0
929973,53.244167,12.135556,Wind Onshore,22500.0
264826,53.325022,13.743268,Wind Onshore,27450.0
526538,51.964184,13.310981,Wind Onshore,19500.0
496926,51.274095,9.729853,Wind Onshore,24000.0
088077,51.243355,9.635358,Wind Onshore,27000.0
305315,50.494791,9.300394,Wind Onshore,21350.0
053223,50.2094345,7.959514417,Wind Onshore,30000.0
192416,53.477359,13.783698,Wind Onshore,64600.0
188615,53.861139,12.114939,Wind Onshore,28000.0
984232,53.439571,14.017764,Wind Onshore,18600.0
574771,53.860985,12.09061,Wind Onshore,40650.0
464912,53.691,13.459,Wind Onshore,26400.0
102868,53.98575863,11.94473619,Wind Onshore,53520.0
188200,53.754212,12.471509,Wind Onshore,30500.0
874943,53.55,13.55,Wind Onshore,43600.0
038793,53.64,13.18,Wind Onshore,24400.0
906416,53.77969781,13.62367525,Wind Onshore,24000.0
060410,52.866204,10.039148,Wind Onshore,22500.0
155243,53.22427775,8.404814625,Wind Onshore,27200.0
918941,53.136981,9.719362,Wind Onshore,23000.0
474553,53.3842449,7.3824418,Wind Onshore,24450.0
801540,52.398735,10.12441,Wind Onshore,20000.0
651624,52.788912,8.747643,Wind Onshore,39900.0
402220,53.364,8.411,Wind Onshore,50400.0
980896,52.387759,7.887658,Wind Onshore,20700.0
628658,53.142468,7.33201,Wind Onshore,20700.0
167333,53.38564515,7.370902,Wind Onshore,39000.0
400203,52.733537,8.749937,Wind Onshore,34600.0
107904,53.362047,8.471418,Wind Onshore,23800.0
271078,53.6852445,8.64864965,Wind Onshore,46000.0
180990,53.5325,7.2225,Wind Onshore,18800.0
100921,53.620278,7.243056,Wind Onshore,20400.0
279144,53.456274,9.595865,Wind Onshore,37000.0
647592,52.662037,8.039085,Wind Onshore,25500.0
747514,53.069097,9.71341,Wind Onshore,37200.0
781194,53.208377,8.431546,Wind Onshore,23400.0
034094,53.431711,8.412992,Wind Onshore,20800.0
205758,52.656329,10.424168,Wind Onshore,21600.0
878818,53.859336,8.6879057,Wind Onshore,25800.0
354241,52.221375,7.576212,Wind Onshore,20000.0
450765,51.589084,8.696847,Wind Onshore,20000.0
968350,50.0013,6.5272,Wind Onshore,19500.0
133947,51.035509,13.190414,Wind Onshore,21000.0
297027,51.2553,11.9824,Wind Onshore,20700.0
652082,51.0738,11.792,Wind Onshore,26400.0
322813,51.774526,12.131997,Wind Onshore,39100.0
185046,51.132404,12.195148,Wind Onshore,28800.0
626373,51.153824,12.066085,Wind Onshore,26400.0
351218,52.027346,11.370003,Wind Onshore,75200.0
750916,51.575896,12.228176,Wind Onshore,20100.0
034344,51.793463,11.494349,Wind Onshore,61550.0
024331,51.095489,12.265075,Wind Onshore,22500.0
702964,51.413079,11.587314,Wind Onshore,32000.0
351793,51.911106,11.236803,Wind Onshore,22000.0
568659,51.14261843,11.95729929,Wind Onshore,25799.0
186615,52.76,11.72,Wind Onshore,22950.0
671823,52.750118,11.8261,Wind Onshore,21050.0
410626,52.699819,11.573228,Wind Onshore,22500.0
683875,54.82153341,9.172412926,Wind Onshore,82230.0
384126,54.13719533,9.256859333,Wind Onshore,20550.0
614343,54.67202498,9.204230919,Wind Onshore,26100.0
767999,54.19,8.98,Wind Onshore,18400.0
893953,51.128485,10.741732,Wind Onshore,24000.0
344990,50.433199,11.907978,Wind Onshore,24000.0
714143,51.077495,11.573587,Wind Onshore,53500.0
123678,51.247073,10.884086,Wind Onshore,67700.0
054953,54.78163847,14.12156773,Wind Offshore,378000.0
045488,53.967397,6.554144269,Wind Offshore,312000.0
251925,53.17938,6.583745,Wind Onshore,31000.0
974885,53.435,6.876,Wind Onshore,27000.0
755805,52.3761,5.1333,Wind Onshore,30400.0
936003,49.877926,2.875313889,Wind Onshore,32400.0
254124,47.650404,4.089798,Wind Onshore,22000.0
301302,49.47021429,3.399426857,Wind Onshore,24600.0
609049,42.785,2.557972,Wind Onshore,23500.0
695561,51.189246,3.785424,Solar,16500.0
026396,51.091425,3.780883,Solar,448.0
316134,50.48467,3.86112,Solar,4400.0
353480,51.2318,3.21418,Solar,620.0
968249,51.197859,5.252321,Solar,99000.0
673542,51.1676,4.3346,Solar,883.0
463108,51.232228,5.38523,Solar,6150.0
703902,51.319133,14.878011,Solar,6073.0
272104,50.111514,11.759483,Solar,4740.0
910593,51.293651,11.809027,Solar,1199.42
910593,51.293651,11.809027,Solar,749.375
230578,51.293651,11.809027,Solar,1199.42
230578,51.293651,11.809027,Solar,749.375
547133,51.914833,11.60451903,Solar,696.96
547133,51.914833,11.60451903,Solar,748.44
701848,51.914833,11.60451903,Solar,696.96
701848,51.914833,11.60451903,Solar,748.44
071151,50.94533,13.074861,Solar,8300.0
228985,53.001952,12.193527,Solar,77679.42
359632,51.89122476,11.63869526,Solar,3383.16
359632,51.89122476,11.63869526,Solar,748.44
760477,51.89122476,11.63869526,Solar,3383.16
760477,51.89122476,11.63869526,Solar,748.44
598179,52.271,5.115,Solar,7594.0
349635,52.468249,6.110396,Solar,873.0
946602,52.45,6.48,Solar,11600.0
356534,52.575964,5.529383,Solar,2364.0
044040,52.567,5.5222,Solar,9400.0
943048,52.5222,6.1225,Solar,451.0
583484,52.47,6.44,Solar,2465.0
814198,51.780483,5.553554,Solar,1200.0
586289,52.24232,6.206366,Solar,250.0
088278,51.4807,3.7002,Solar,54360.0
749933,51.47,4.03,Solar,24080.76
709758,52.78,4.916,Solar,20430.0
956765,51.41555556,4.240277785,Solar,11750.0
617779,52.25,6.28,Solar,9000.0
617779,52.25,6.28,Solar,9000.0
115867,52.25,6.28,Solar,9000.0
115867,52.25,6.28,Solar,9000.0
341363,52.234879,6.781368,Solar,17300.0
613201,52.26,6.71,Solar,12750.0
375386,52.53456,6.45383,Solar,9013.0
933827,43.50211,4.95254,Solar,10549.0
198329,47.320573,5.390721,Solar,11997.0
145952,47.48,0.47,Solar,16993.0
180938,44.519406,-0.190269,Solar,5000.0
415941,43.56,6.17,Solar,10330.0
415941,43.56,6.17,Solar,13000.0
833618,43.56,6.17,Solar,10330.0
833618,43.56,6.17,Solar,13000.0
909538,44.33575,-0.533058,Solar,10500.0
888397,48.661,3.829,Solar,29978.0
658364,43.216147,2.643136,Solar,18340.0
866595,47.787711,7.190417,Solar,1463.0
176383,45.476889,4.361778,Solar,1762.0
073379,44.125431,4.092764,Solar,2674.0
753958,47.727491,-3.368173,Solar,3000.0
607683,48.3308468,-0.5584837,Solar,4991.0
105177,47.06029,2.277,Solar,7985.0
698467,43.174644,2.026305,Solar,16000.0
164379,44.562306,5.885992,Solar,10993.0
962066,50.1726,3.2413,Solar,25000.0
446008,43.818427,4.506789,Solar,1330.0
168218,44.033048,-0.67822,Solar,10000.0
895945,44.03158306,-0.713275833,Solar,10360.0
944340,47.5718,2.4712,Solar,20068.0
961827,43.207395,2.65734,Solar,8260.0
724527,44.32146,3.0939,Solar,5000.0
171806,43.638246,0.66475,Solar,5000.0
884018,43.023929,1.905091,Solar,3060.0
365650,44.33575,-0.533057,Solar,11100.0
874381,45.873487,0.683876,Solar,9646.0
831683,44.168808,-0.58337,Solar,15000.0
633438,44.6099444,4.399805556,Solar,959.0
404484,44.290186,-0.893588,Solar,1507.0
502864,48.620889,2.363972,Solar,10000.0
595009,43.294475,1.940253,Solar,3773.0
043444,44.272876,-0.900697,Solar,4415.0
805632,47.963296,7.309987,Solar,1194.0
726759,47.860939,7.423894,Solar,11750.0
