,load_factor
2022-12-31 23:00:00+00:00,0.0
2023-01-01 00:00:00+00:00,0.0
2023-01-01 01:00:00+00:00,0.0
2023-01-01 02:00:00+00:00,0.0
2023-01-01 03:00:00+00:00,0.0
2023-01-01 04:00:00+00:00,0.0
2023-01-01 05:00:00+00:00,0.0
2023-01-01 06:00:00+00:00,0.0
2023-01-01 07:00:00+00:00,0.0
2023-01-01 08:00:00+00:00,0.017333333333333333
2023-01-01 09:00:00+00:00,0.05075757575757576
2023-01-01 10:00:00+00:00,0.09734848484848485
2023-01-01 11:00:00+00:00,0.12398484848484849
2023-01-01 12:00:00+00:00,0.09
2023-01-01 13:00:00+00:00,0.07913636363636363
2023-01-01 14:00:00+00:00,0.021606060606060604
2023-01-01 15:00:00+00:00,0.00048484848484848484
2023-01-01 16:00:00+00:00,0.0
2023-01-01 17:00:00+00:00,0.0
2023-01-01 18:00:00+00:00,0.0
2023-01-01 19:00:00+00:00,0.0
2023-01-01 20:00:00+00:00,0.0
2023-01-01 21:00:00+00:00,0.0
2023-01-01 22:00:00+00:00,0.0
2023-01-01 23:00:00+00:00,0.0
2023-01-02 00:00:00+00:00,0.0
2023-01-02 01:00:00+00:00,0.0
2023-01-02 02:00:00+00:00,0.0
2023-01-02 03:00:00+00:00,0.0
2023-01-02 04:00:00+00:00,0.0
2023-01-02 05:00:00+00:00,0.0
2023-01-02 06:00:00+00:00,0.0
2023-01-02 07:00:00+00:00,0.0
2023-01-02 08:00:00+00:00,0.005045454545454546
2023-01-02 09:00:00+00:00,0.05310606060606061
2023-01-02 10:00:00+00:00,0.08298484848484848
2023-01-02 11:00:00+00:00,0.06245454545454546
2023-01-02 12:00:00+00:00,0.07957575757575758
2023-01-02 13:00:00+00:00,0.05683333333333333
2023-01-02 14:00:00+00:00,0.023318181818181818
2023-01-02 15:00:00+00:00,0.005424242424242424
2023-01-02 16:00:00+00:00,0.0
2023-01-02 17:00:00+00:00,0.0
2023-01-02 18:00:00+00:00,0.0
2023-01-02 19:00:00+00:00,0.0
2023-01-02 20:00:00+00:00,0.0
2023-01-02 21:00:00+00:00,0.0
2023-01-02 22:00:00+00:00,0.0
2023-01-02 23:00:00+00:00,0.0
2023-01-03 00:00:00+00:00,0.0
2023-01-03 01:00:00+00:00,0.0
2023-01-03 02:00:00+00:00,0.0
2023-01-03 03:00:00+00:00,0.0
2023-01-03 04:00:00+00:00,0.0
2023-01-03 05:00:00+00:00,0.0
2023-01-03 06:00:00+00:00,0.0
2023-01-03 07:00:00+00:00,0.0
2023-01-03 08:00:00+00:00,0.010924242424242425
2023-01-03 09:00:00+00:00,0.06015151515151515
2023-01-03 10:00:00+00:00,0.1203030303030303
2023-01-03 11:00:00+00:00,0.17183333333333334
2023-01-03 12:00:00+00:00,0.19277272727272726
2023-01-03 13:00:00+00:00,0.12562121212121213
2023-01-03 14:00:00+00:00,0.05795454545454545
2023-01-03 15:00:00+00:00,0.006606060606060606
2023-01-03 16:00:00+00:00,0.0
2023-01-03 17:00:00+00:00,0.0
2023-01-03 18:00:00+00:00,0.0
2023-01-03 19:00:00+00:00,0.0
2023-01-03 20:00:00+00:00,0.0
2023-01-03 21:00:00+00:00,0.0
2023-01-03 22:00:00+00:00,0.0
2023-01-03 23:00:00+00:00,0.0
