,power.profen.prod.obs.kw.geco.h
2020-12-31 23:00:00+00:00,0.16359635416666665
2021-01-01 00:00:00+00:00,0.24383333333333332
2021-01-01 01:00:00+00:00,0.16709114583333334
2021-01-01 02:00:00+00:00,0.11054427083333333
2021-01-01 03:00:00+00:00,0.1181640625
2021-01-01 04:00:00+00:00,0.08123958333333332
2021-01-01 05:00:00+00:00,0.08934635416666667
2021-01-01 06:00:00+00:00,0.13821614583333333
2021-01-01 07:00:00+00:00,0.09040625
2021-01-01 08:00:00+00:00,0.02609635416666667
2021-01-01 09:00:00+00:00,0.052393229166666666
2021-01-01 10:00:00+00:00,0.03701041666666667
2021-01-01 11:00:00+00:00,0.007161458333333333
2021-01-01 12:00:00+00:00,0.006244791666666667
2021-01-01 13:00:00+00:00,0.022315104166666665
2021-01-01 14:00:00+00:00,0.010398437500000001
2021-01-01 15:00:00+00:00,0.021799479166666667
2021-01-01 16:00:00+00:00,0.024721354166666668
2021-01-01 17:00:00+00:00,0.007161458333333333
2021-01-01 18:00:00+00:00,0.0006588541666666667
2021-01-01 19:00:00+00:00,0.0
2021-01-01 20:00:00+00:00,0.023289062500000002
2021-01-01 21:00:00+00:00,0.04600520833333333
2021-01-01 22:00:00+00:00,0.0057578125
2021-01-01 23:00:00+00:00,0.004296875
2021-01-02 00:00:00+00:00,0.013606770833333334
2021-01-02 01:00:00+00:00,0.00240625
2021-01-02 02:00:00+00:00,0.033515625
2021-01-02 03:00:00+00:00,0.0313671875
2021-01-02 04:00:00+00:00,0.0145234375
2021-01-02 05:00:00+00:00,0.014981770833333335
2021-01-02 06:00:00+00:00,0.0040963541666666665
2021-01-02 07:00:00+00:00,0.0010598958333333333
2021-01-02 08:00:00+00:00,0.0
2021-01-02 09:00:00+00:00,0.0
2021-01-02 10:00:00+00:00,0.0
2021-01-02 11:00:00+00:00,0.0
2021-01-02 12:00:00+00:00,0.0
2021-01-02 13:00:00+00:00,0.0
2021-01-02 14:00:00+00:00,0.0
2021-01-02 15:00:00+00:00,0.00031510416666666666
2021-01-02 16:00:00+00:00,0.04119270833333333
2021-01-02 17:00:00+00:00,0.1178203125
2021-01-02 18:00:00+00:00,0.18909114583333334
2021-01-02 19:00:00+00:00,0.223265625
2021-01-02 20:00:00+00:00,0.232375
2021-01-02 21:00:00+00:00,0.24772916666666667
2021-01-02 22:00:00+00:00,0.18745833333333334
2021-01-02 23:00:00+00:00,0.20129427083333332
2021-01-03 00:00:00+00:00,0.21925520833333334
2021-01-03 01:00:00+00:00,0.20209635416666666
2021-01-03 02:00:00+00:00,0.16949739583333331
2021-01-03 03:00:00+00:00,0.1300234375
2021-01-03 04:00:00+00:00,0.14405989583333334
2021-01-03 05:00:00+00:00,0.14617968750000002
2021-01-03 06:00:00+00:00,0.116875
2021-01-03 07:00:00+00:00,0.10083333333333333
2021-01-03 08:00:00+00:00,0.09510416666666667
2021-01-03 09:00:00+00:00,0.0825
