,power.karstadt_ii_levanto_2.prod.obs.kw.geco.h
2019-01-01 00:00:00+00:00,0.6286875
2019-01-01 01:00:00+00:00,0.6013125
2019-01-01 02:00:00+00:00,0.73125
2019-01-01 03:00:00+00:00,0.70275
2019-01-01 04:00:00+00:00,0.762
2019-01-01 05:00:00+00:00,0.7861875
2019-01-01 06:00:00+00:00,0.785625
2019-01-01 07:00:00+00:00,0.7813125
2019-01-01 08:00:00+00:00,0.842625
2019-01-01 09:00:00+00:00,0.807
2019-01-01 10:00:00+00:00,0.823875
2019-01-01 11:00:00+00:00,0.8278125
2019-01-01 12:00:00+00:00,0.818625
2019-01-01 13:00:00+00:00,0.8259375
2019-01-01 14:00:00+00:00,0.83175
2019-01-01 15:00:00+00:00,0.874125
2019-01-01 16:00:00+00:00,0.81
2019-01-01 17:00:00+00:00,0.882
2019-01-01 18:00:00+00:00,0.8814375
2019-01-01 19:00:00+00:00,0.8829375
2019-01-01 20:00:00+00:00,0.8660625
2019-01-01 21:00:00+00:00,0.822375
2019-01-01 22:00:00+00:00,0.817125
2019-01-01 23:00:00+00:00,0.78
2019-01-02 00:00:00+00:00,0.767625
2019-01-02 01:00:00+00:00,0.7678125
2019-01-02 02:00:00+00:00,0.8154375
2019-01-02 03:00:00+00:00,0.784875
2019-01-02 04:00:00+00:00,0.863625
2019-01-02 05:00:00+00:00,0.8863125
2019-01-02 06:00:00+00:00,0.8859375
2019-01-02 07:00:00+00:00,0.8803125
2019-01-02 08:00:00+00:00,0.8175
2019-01-02 09:00:00+00:00,0.795
2019-01-02 10:00:00+00:00,0.8083125
2019-01-02 11:00:00+00:00,0.8499375
2019-01-02 12:00:00+00:00,0.838125
2019-01-02 13:00:00+00:00,0.8450625
2019-01-02 14:00:00+00:00,0.7809375
2019-01-02 15:00:00+00:00,0.6170625
2019-01-02 16:00:00+00:00,0.5683125
2019-01-02 17:00:00+00:00,0.489375
2019-01-02 18:00:00+00:00,0.4520625
2019-01-02 19:00:00+00:00,0.434625
2019-01-02 20:00:00+00:00,0.33675
2019-01-02 21:00:00+00:00,0.3039375
2019-01-02 22:00:00+00:00,0.372
2019-01-02 23:00:00+00:00,0.5199375
2019-01-03 00:00:00+00:00,0.537375
2019-01-03 01:00:00+00:00,0.3560625
2019-01-03 02:00:00+00:00,0.2364375
2019-01-03 03:00:00+00:00,0.2413125
2019-01-03 04:00:00+00:00,0.289875
2019-01-03 05:00:00+00:00,0.3204375
2019-01-03 06:00:00+00:00,0.3429375
2019-01-03 07:00:00+00:00,0.252375
2019-01-03 08:00:00+00:00,0.251625
2019-01-03 09:00:00+00:00,0.2709375
2019-01-03 10:00:00+00:00,0.1993125
2019-01-03 11:00:00+00:00,0.1708125
2019-01-03 12:00:00+00:00,0.1880625
2019-01-03 13:00:00+00:00,0.1366875
2019-01-03 14:00:00+00:00,0.20775
2019-01-03 15:00:00+00:00,0.2461875
2019-01-03 16:00:00+00:00,0.2776875
2019-01-03 17:00:00+00:00,0.156
2019-01-03 18:00:00+00:00,0.1610625
2019-01-03 19:00:00+00:00,0.1035
2019-01-03 20:00:00+00:00,0.0343125
2019-01-03 21:00:00+00:00,0.044625
2019-01-03 22:00:00+00:00,0.040875
2019-01-03 23:00:00+00:00,0.0459375
2019-01-04 00:00:00+00:00,0.041625
2019-01-04 01:00:00+00:00,0.115125
2019-01-04 02:00:00+00:00,0.195375
2019-01-04 03:00:00+00:00,0.2795625
2019-01-04 04:00:00+00:00,0.18675
2019-01-04 05:00:00+00:00,0.24075
2019-01-04 06:00:00+00:00,0.2746875
2019-01-04 07:00:00+00:00,0.3939375
2019-01-04 08:00:00+00:00,0.3950625
2019-01-04 09:00:00+00:00,0.4438125
2019-01-04 10:00:00+00:00,0.5510625
2019-01-04 11:00:00+00:00,0.6451875
2019-01-04 12:00:00+00:00,0.7666875
2019-01-04 13:00:00+00:00,0.498375
2019-01-04 14:00:00+00:00,0.39975
2019-01-04 15:00:00+00:00,0.298875
2019-01-04 16:00:00+00:00,0.2604375
2019-01-04 17:00:00+00:00,0.2420625
2019-01-04 18:00:00+00:00,0.204
2019-01-04 19:00:00+00:00,0.213
2019-01-04 20:00:00+00:00,0.2540625
2019-01-04 21:00:00+00:00,0.3076875
2019-01-04 22:00:00+00:00,0.3969375
2019-01-04 23:00:00+00:00,0.4205625
2019-01-05 00:00:00+00:00,0.384375
2019-01-05 01:00:00+00:00,0.4453125
2019-01-05 02:00:00+00:00,0.554625
2019-01-05 03:00:00+00:00,0.4794375
2019-01-05 04:00:00+00:00,0.379875
2019-01-05 05:00:00+00:00,0.320625
2019-01-05 06:00:00+00:00,0.402375
2019-01-05 07:00:00+00:00,0.3283125
2019-01-05 08:00:00+00:00,0.284625
2019-01-05 09:00:00+00:00,0.286875
2019-01-05 10:00:00+00:00,0.269625
2019-01-05 11:00:00+00:00,0.224625
2019-01-05 12:00:00+00:00,0.217875
2019-01-05 13:00:00+00:00,0.2625
2019-01-05 14:00:00+00:00,0.2510625
2019-01-05 15:00:00+00:00,0.2499375
2019-01-05 16:00:00+00:00,0.1179375
2019-01-05 17:00:00+00:00,0.216375
2019-01-05 18:00:00+00:00,0.1408125
2019-01-05 19:00:00+00:00,0.0808125
2019-01-05 20:00:00+00:00,0.036375
2019-01-05 21:00:00+00:00,0.036375
2019-01-05 22:00:00+00:00,0.0935625
2019-01-05 23:00:00+00:00,0.1275
2019-01-06 00:00:00+00:00,0.079875
2019-01-06 01:00:00+00:00,0.0418125
2019-01-06 02:00:00+00:00,0.04125
2019-01-06 03:00:00+00:00,0.037875
2019-01-06 04:00:00+00:00,0.0129375
2019-01-06 05:00:00+00:00,0.0001875
2019-01-06 06:00:00+00:00,0.0001875
2019-01-06 07:00:00+00:00,0.000375
2019-01-06 08:00:00+00:00,0.0
2019-01-06 09:00:00+00:00,0.0
2019-01-06 10:00:00+00:00,0.0
2019-01-06 11:00:00+00:00,0.0
2019-01-06 12:00:00+00:00,0.0
2019-01-06 13:00:00+00:00,0.0
2019-01-06 14:00:00+00:00,0.0
2019-01-06 15:00:00+00:00,0.0
2019-01-06 16:00:00+00:00,0.0
2019-01-06 17:00:00+00:00,0.0
2019-01-06 18:00:00+00:00,0.0
2019-01-06 19:00:00+00:00,0.0
2019-01-06 20:00:00+00:00,0.0001875
2019-01-06 21:00:00+00:00,0.0015
2019-01-06 22:00:00+00:00,0.0135
2019-01-06 23:00:00+00:00,0.00525
2019-01-07 00:00:00+00:00,0.0045
2019-01-07 01:00:00+00:00,0.0285
2019-01-07 02:00:00+00:00,0.077625
2019-01-07 03:00:00+00:00,0.139875
2019-01-07 04:00:00+00:00,0.1546875
2019-01-07 05:00:00+00:00,0.1100625
2019-01-07 06:00:00+00:00,0.1040625
2019-01-07 07:00:00+00:00,0.133125
2019-01-07 08:00:00+00:00,0.1250625
2019-01-07 09:00:00+00:00,0.25725
2019-01-07 10:00:00+00:00,0.2311875
2019-01-07 11:00:00+00:00,0.2319375
2019-01-07 12:00:00+00:00,0.1505625
2019-01-07 13:00:00+00:00,0.1666875
2019-01-07 14:00:00+00:00,0.1790625
2019-01-07 15:00:00+00:00,0.1603125
2019-01-07 16:00:00+00:00,0.2424375
2019-01-07 17:00:00+00:00,0.38325
2019-01-07 18:00:00+00:00,0.4603125
2019-01-07 19:00:00+00:00,0.5773125
2019-01-07 20:00:00+00:00,0.72975
2019-01-07 21:00:00+00:00,0.732375
2019-01-07 22:00:00+00:00,0.76875
2019-01-07 23:00:00+00:00,0.624375
2019-01-08 00:00:00+00:00,0.2925
2019-01-08 01:00:00+00:00,0.41625
2019-01-08 02:00:00+00:00,0.575625
2019-01-08 03:00:00+00:00,0.7130625
2019-01-08 04:00:00+00:00,0.7130625
2019-01-08 05:00:00+00:00,0.765375
2019-01-08 06:00:00+00:00,0.828
2019-01-08 07:00:00+00:00,0.8578125
2019-01-08 08:00:00+00:00,0.8565
2019-01-08 09:00:00+00:00,0.8750625
2019-01-08 10:00:00+00:00,0.8566875
2019-01-08 11:00:00+00:00,0.8341875
2019-01-08 12:00:00+00:00,0.8694375
2019-01-08 13:00:00+00:00,0.801
2019-01-08 14:00:00+00:00,0.7524375
2019-01-08 15:00:00+00:00,0.898875
2019-01-08 16:00:00+00:00,0.7220625
2019-01-08 17:00:00+00:00,0.79425
2019-01-08 18:00:00+00:00,0.799125
2019-01-08 19:00:00+00:00,0.847875
2019-01-08 20:00:00+00:00,0.902625
2019-01-08 21:00:00+00:00,0.9219375
2019-01-08 22:00:00+00:00,0.87525
2019-01-08 23:00:00+00:00,0.8724375
2019-01-09 00:00:00+00:00,0.8645625
2019-01-09 01:00:00+00:00,0.9193125
2019-01-09 02:00:00+00:00,0.944625
2019-01-09 03:00:00+00:00,0.9448125
2019-01-09 04:00:00+00:00,0.907875
2019-01-09 05:00:00+00:00,0.8495625
2019-01-09 06:00:00+00:00,0.811125
2019-01-09 07:00:00+00:00,0.8941875
2019-01-09 08:00:00+00:00,0.81075
2019-01-09 09:00:00+00:00,0.810375
2019-01-09 10:00:00+00:00,0.8589375
2019-01-09 11:00:00+00:00,0.8116875
2019-01-09 12:00:00+00:00,0.7775625
2019-01-09 13:00:00+00:00,0.681375
2019-01-09 14:00:00+00:00,0.663375
2019-01-09 15:00:00+00:00,0.683625
2019-01-09 16:00:00+00:00,0.6800625
2019-01-09 17:00:00+00:00,0.843
2019-01-09 18:00:00+00:00,0.8690625
2019-01-09 19:00:00+00:00,0.74175
2019-01-09 20:00:00+00:00,0.7111875
2019-01-09 21:00:00+00:00,0.6165
2019-01-09 22:00:00+00:00,0.6061875
2019-01-09 23:00:00+00:00,0.43125
2019-01-10 00:00:00+00:00,0.387
2019-01-10 01:00:00+00:00,0.2956875
2019-01-10 02:00:00+00:00,0.2503125
2019-01-10 03:00:00+00:00,0.238125
2019-01-10 04:00:00+00:00,0.2625
2019-01-10 05:00:00+00:00,0.13275
2019-01-10 06:00:00+00:00,0.0855
2019-01-10 07:00:00+00:00,0.091125
2019-01-10 08:00:00+00:00,0.0320625
2019-01-10 09:00:00+00:00,0.012375
2019-01-10 10:00:00+00:00,0.0421875
2019-01-10 11:00:00+00:00,0.06675
2019-01-10 12:00:00+00:00,0.03
2019-01-10 13:00:00+00:00,0.086625
2019-01-10 14:00:00+00:00,0.036
2019-01-10 15:00:00+00:00,0.015375
2019-01-10 16:00:00+00:00,0.024
2019-01-10 17:00:00+00:00,0.0196875
2019-01-10 18:00:00+00:00,0.037875
2019-01-10 19:00:00+00:00,0.06675
2019-01-10 20:00:00+00:00,0.076125
2019-01-10 21:00:00+00:00,0.067125
2019-01-10 22:00:00+00:00,0.0403125
2019-01-10 23:00:00+00:00,0.06
2019-01-11 00:00:00+00:00,0.099
2019-01-11 01:00:00+00:00,0.1408125
2019-01-11 02:00:00+00:00,0.1674375
2019-01-11 03:00:00+00:00,0.2011875
2019-01-11 04:00:00+00:00,0.222375
2019-01-11 05:00:00+00:00,0.2240625
2019-01-11 06:00:00+00:00,0.1603125
2019-01-11 07:00:00+00:00,0.1126875
2019-01-11 08:00:00+00:00,0.148875
2019-01-11 09:00:00+00:00,0.2625
2019-01-11 10:00:00+00:00,0.3511875
2019-01-11 11:00:00+00:00,0.3504375
2019-01-11 12:00:00+00:00,0.3305625
2019-01-11 13:00:00+00:00,0.33375
2019-01-11 14:00:00+00:00,0.3635625
2019-01-11 15:00:00+00:00,0.382125
2019-01-11 16:00:00+00:00,0.467625
2019-01-11 17:00:00+00:00,0.50325
2019-01-11 18:00:00+00:00,0.3661875
2019-01-11 19:00:00+00:00,0.342375
2019-01-11 20:00:00+00:00,0.343125
2019-01-11 21:00:00+00:00,0.462375
2019-01-11 22:00:00+00:00,0.5180625
2019-01-11 23:00:00+00:00,0.466125
2019-01-12 00:00:00+00:00,0.4393125
2019-01-12 01:00:00+00:00,0.34875
2019-01-12 02:00:00+00:00,0.3155625
2019-01-12 03:00:00+00:00,0.2415
2019-01-12 04:00:00+00:00,0.250125
2019-01-12 05:00:00+00:00,0.1944375
2019-01-12 06:00:00+00:00,0.1876875
2019-01-12 07:00:00+00:00,0.208125
2019-01-12 08:00:00+00:00,0.3015
2019-01-12 09:00:00+00:00,0.495375
2019-01-12 10:00:00+00:00,0.555375
2019-01-12 11:00:00+00:00,0.432
2019-01-12 12:00:00+00:00,0.4509375
2019-01-12 13:00:00+00:00,0.5075625
2019-01-12 14:00:00+00:00,0.598875
