,power.buren.prod.obs.kw.geco.h
2019-01-01 00:00:00+00:00,0.64867
2019-01-01 01:00:00+00:00,0.85415
2019-01-01 02:00:00+00:00,0.89925
2019-01-01 03:00:00+00:00,0.9782299999999999
2019-01-01 04:00:00+00:00,0.9878
2019-01-01 05:00:00+00:00,0.94952
2019-01-01 06:00:00+00:00,0.9727299999999999
2019-01-01 07:00:00+00:00,1.00254
2019-01-01 08:00:00+00:00,1.00309
2019-01-01 09:00:00+00:00,1.001
2019-01-01 10:00:00+00:00,0.62216
2019-01-01 11:00:00+00:00,0.60115
2019-01-01 12:00:00+00:00,0.60137
2019-01-01 13:00:00+00:00,0.60159
2019-01-01 14:00:00+00:00,0.6017
2019-01-01 15:00:00+00:00,0.60115
2019-01-01 16:00:00+00:00,0.60137
2019-01-01 17:00:00+00:00,0.60159
2019-01-01 18:00:00+00:00,0.60137
2019-01-01 19:00:00+00:00,0.60137
2019-01-01 20:00:00+00:00,0.60159
2019-01-01 21:00:00+00:00,0.60159
2019-01-01 22:00:00+00:00,0.60148
2019-01-01 23:00:00+00:00,0.60137
2019-01-02 00:00:00+00:00,0.60148
2019-01-02 01:00:00+00:00,0.94699
2019-01-02 02:00:00+00:00,0.9825200000000001
2019-01-02 03:00:00+00:00,0.9247700000000001
2019-01-02 04:00:00+00:00,0.6532899999999999
2019-01-02 05:00:00+00:00,0.5957600000000001
2019-01-02 06:00:00+00:00,0.71907
2019-01-02 07:00:00+00:00,0.9490799999999999
2019-01-02 08:00:00+00:00,0.88979
2019-01-02 09:00:00+00:00,0.72039
2019-01-02 10:00:00+00:00,0.62722
2019-01-02 11:00:00+00:00,0.66583
2019-01-02 12:00:00+00:00,0.57717
2019-01-02 13:00:00+00:00,0.5192
2019-01-02 14:00:00+00:00,0.4928
2019-01-02 15:00:00+00:00,0.55187
2019-01-02 16:00:00+00:00,0.38961999999999997
2019-01-02 17:00:00+00:00,0.5137
2019-01-02 18:00:00+00:00,0.39655
2019-01-02 19:00:00+00:00,0.32582
2019-01-02 20:00:00+00:00,0.2552
2019-01-02 21:00:00+00:00,0.26961
2019-01-02 22:00:00+00:00,0.18216
2019-01-02 23:00:00+00:00,0.0957
2019-01-03 00:00:00+00:00,0.04367
2019-01-03 01:00:00+00:00,0.04917
2019-01-03 02:00:00+00:00,0.09823
2019-01-03 03:00:00+00:00,0.11979000000000001
2019-01-03 04:00:00+00:00,0.13871
2019-01-03 05:00:00+00:00,0.12815
2019-01-03 06:00:00+00:00,0.2101
2019-01-03 07:00:00+00:00,0.17105
2019-01-03 08:00:00+00:00,0.19810999999999998
2019-01-03 09:00:00+00:00,0.20845
2019-01-03 10:00:00+00:00,0.1496
2019-01-03 11:00:00+00:00,0.13497
2019-01-03 12:00:00+00:00,0.14597000000000002
2019-01-03 13:00:00+00:00,0.15257
2019-01-03 14:00:00+00:00,0.27478
2019-01-03 15:00:00+00:00,0.18997
2019-01-03 16:00:00+00:00,0.27203
2019-01-03 17:00:00+00:00,0.16665
2019-01-03 18:00:00+00:00,0.13596
2019-01-03 19:00:00+00:00,0.13497
2019-01-03 20:00:00+00:00,0.12462999999999999
2019-01-03 21:00:00+00:00,0.10318
2019-01-03 22:00:00+00:00,0.0605
2019-01-03 23:00:00+00:00,0.044
2019-01-04 00:00:00+00:00,0.0968
2019-01-04 01:00:00+00:00,0.07799
2019-01-04 02:00:00+00:00,0.08745
2019-01-04 03:00:00+00:00,0.11231
2019-01-04 04:00:00+00:00,0.14454
2019-01-04 05:00:00+00:00,0.29139
2019-01-04 06:00:00+00:00,0.47025
2019-01-04 07:00:00+00:00,0.52723
2019-01-04 08:00:00+00:00,0.6083
2019-01-04 09:00:00+00:00,0.81334
2019-01-04 10:00:00+00:00,0.7714300000000001
2019-01-04 11:00:00+00:00,0.8567899999999999
2019-01-04 12:00:00+00:00,0.90079
2019-01-04 13:00:00+00:00,0.9174
2019-01-04 14:00:00+00:00,0.9331299999999999
2019-01-04 15:00:00+00:00,0.9182799999999999
2019-01-04 16:00:00+00:00,0.88792
2019-01-04 17:00:00+00:00,0.82632
