,power.beseritz.prod.obs.kw.geco.h
2019-01-01 00:00:00+00:00,0.7359375
2019-01-01 01:00:00+00:00,0.7909375
2019-01-01 02:00:00+00:00,0.8496875
2019-01-01 03:00:00+00:00,0.8303125
2019-01-01 04:00:00+00:00,0.8884375
2019-01-01 05:00:00+00:00,0.8996875
2019-01-01 06:00:00+00:00,0.8940625
2019-01-01 07:00:00+00:00,0.8675
2019-01-01 08:00:00+00:00,0.8478125
2019-01-01 09:00:00+00:00,0.89
2019-01-01 10:00:00+00:00,0.9096875
2019-01-01 11:00:00+00:00,0.8753125
2019-01-01 12:00:00+00:00,0.8853125
2019-01-01 13:00:00+00:00,0.8428125
2019-01-01 14:00:00+00:00,0.8484375
2019-01-01 15:00:00+00:00,0.853125
2019-01-01 16:00:00+00:00,0.8490625
2019-01-01 17:00:00+00:00,0.8603125
2019-01-01 18:00:00+00:00,0.85
2019-01-01 19:00:00+00:00,0.8509375
2019-01-01 20:00:00+00:00,0.896875
2019-01-01 21:00:00+00:00,0.869375
2019-01-01 22:00:00+00:00,0.8425
2019-01-01 23:00:00+00:00,0.8846875
2019-01-02 00:00:00+00:00,0.8990625
2019-01-02 01:00:00+00:00,0.856875
2019-01-02 02:00:00+00:00,0.88125
2019-01-02 03:00:00+00:00,0.879375
2019-01-02 04:00:00+00:00,0.811875
2019-01-02 05:00:00+00:00,0.8784375
2019-01-02 06:00:00+00:00,0.7875
2019-01-02 07:00:00+00:00,0.4503125
2019-01-02 08:00:00+00:00,0.6671875
2019-01-02 09:00:00+00:00,0.8296875
2019-01-02 10:00:00+00:00,0.7746875
2019-01-02 11:00:00+00:00,0.838125
2019-01-02 12:00:00+00:00,0.824375
2019-01-02 13:00:00+00:00,0.8834375
2019-01-02 14:00:00+00:00,0.75125
2019-01-02 15:00:00+00:00,0.6375
2019-01-02 16:00:00+00:00,0.653125
2019-01-02 17:00:00+00:00,0.693125
2019-01-02 18:00:00+00:00,0.55125
2019-01-02 19:00:00+00:00,0.6284375
2019-01-02 20:00:00+00:00,0.45375
2019-01-02 21:00:00+00:00,0.2934375
2019-01-02 22:00:00+00:00,0.28125
2019-01-02 23:00:00+00:00,0.22
2019-01-03 00:00:00+00:00,0.2696875
2019-01-03 01:00:00+00:00,0.3621875
2019-01-03 02:00:00+00:00,0.5896875
2019-01-03 03:00:00+00:00,0.6534375
2019-01-03 04:00:00+00:00,0.70625
2019-01-03 05:00:00+00:00,0.6378125
2019-01-03 06:00:00+00:00,0.588125
2019-01-03 07:00:00+00:00,0.4259375
2019-01-03 08:00:00+00:00,0.47125
2019-01-03 09:00:00+00:00,0.24375
2019-01-03 10:00:00+00:00,0.1090625
2019-01-03 11:00:00+00:00,0.090625
2019-01-03 12:00:00+00:00,0.10375
2019-01-03 13:00:00+00:00,0.0896875
2019-01-03 14:00:00+00:00,0.1028125
2019-01-03 15:00:00+00:00,0.1325
